,device_id,timestampI,timestampF,MAC,RSSI,channel,latitudeI,longitudeI,latitudeF,longitudeF,cnt_pckg,id,duration,ts_sort,distancias
28293,617.0,2021-08-04 07:23:59,2021-08-04 07:35:58,a0:cc:2b:81:68:94,-50,5,-22.820482000000002,-47.06825,-22.830316,-47.062089,173,637,719,2021-08-04 07:23:59,1.2627050689658152
28421,617.0,2021-08-04 07:35:17,2021-08-04 07:37:24,92:bb:36:ec:b0:8f,-91,11,-22.831787,-47.062656,-22.829836,-47.060099,47,765,127,2021-08-04 07:35:17,0.34019695743379036
31813,617.0,2021-08-04 11:16:43,2021-08-04 11:25:31,c6:5c:22:fa:02:90,-90,1,-22.817086,-47.07269,-22.814304,-47.063038,168,247,528,2021-08-04 11:16:43,1.0365179451193718
31892,617.0,2021-08-04 11:20:45,2021-08-04 11:35:44,94:17:00:27:42:e0,-89,11,-22.816376,-47.066224,-22.829815,-47.060043,252,323,899,2021-08-04 11:20:45,1.6230800029662333
32030,617.0,2021-08-04 11:29:17,2021-08-04 11:33:28,ce:8f:12:e1:b9:89,-47,1,-22.819820999999997,-47.060179,-22.830579,-47.064327,38,460,251,2021-08-04 11:29:17,1.2695307291778537
32456,617.0,2021-08-04 12:06:08,2021-08-04 12:20:19,a8:16:d0:df:1d:75,-87,1,-22.817164000000002,-47.072699,-22.823826,-47.063004,156,304,851,2021-08-04 12:06:08,1.2393960617548305
32613,617.0,2021-08-04 12:15:24,2021-08-04 12:20:27,58:d9:c3:82:42:22,-92,6,-22.815003,-47.062728,-22.824014000000002,-47.063376,41,456,303,2021-08-04 12:15:24,1.0041775625069294
33709,617.0,2021-08-04 12:37:05,2021-08-04 12:38:10,72:43:fe:ec:99:1d,-91,1,-22.824037,-47.067983,-22.821692000000002,-47.070104,196,297,65,2021-08-04 12:37:05,0.3394789523488629
33788,617.0,2021-08-04 12:39:47,2021-08-04 12:45:25,a4:55:90:7d:38:33,-84,6,-22.817061,-47.072682,-22.820857,-47.068042999999996,99,376,338,2021-08-04 12:39:47,0.6357906470581851
33798,617.0,2021-08-04 12:40:07,2021-08-04 12:50:57,f0:d7:aa:f1:25:a2,-63,7,-22.81654,-47.072679,-22.818088,-47.061192,75,386,650,2021-08-04 12:40:07,1.1898605635605153
34883,617.0,2021-08-04 13:15:05,2021-08-04 13:20:41,8c:f1:12:17:90:75,-90,11,-22.828295,-47.066444,-22.818701,-47.072272999999996,63,103,336,2021-08-04 13:15:05,1.2226899555447415
34938,617.0,2021-08-04 13:16:04,2021-08-04 13:19:02,ae:09:a2:10:ab:e5,-54,11,-22.827105,-47.067504,-22.822995000000002,-47.068806,30,158,178,2021-08-04 13:16:04,0.4760942803493103
35034,617.0,2021-08-04 13:18:08,2021-08-04 13:21:34,d4:c9:4b:88:f7:99,-92,4,-22.824989000000002,-47.067042,-22.816535000000002,-47.072682,197,254,206,2021-08-04 13:18:08,1.1035498750233526
35075,617.0,2021-08-04 13:19:13,2021-08-04 13:21:17,d4:9c:dd:2c:f4:85,-82,1,-22.822333,-47.069424,-22.817114,-47.072659,67,295,124,2021-08-04 13:19:13,0.6683653686068695
35222,617.0,2021-08-04 13:24:40,2021-08-04 13:35:49,30:07:4d:6e:26:40,-54,11,-22.813714,-47.064914,-22.824931,-47.065553,52,442,669,2021-08-04 13:24:40,1.2489934843470007
35407,617.0,2021-08-04 13:36:02,2021-08-04 13:39:51,88:b4:a6:8c:1b:69,-89,6,-22.825094,-47.065835,-22.829704,-47.060519,35,627,229,2021-08-04 13:36:02,0.7480591544128928
36044,617.0,2021-08-04 13:59:05,2021-08-04 14:02:40,a8:96:75:1b:d9:d9,-75,3,-22.829663,-47.061113,-22.825447,-47.066056,144,11,215,2021-08-04 13:59:05,0.6902197175602295
36089,617.0,2021-08-04 14:00:58,2021-08-04 14:03:55,8c:f1:12:7c:76:26,-54,6,-22.829307999999997,-47.065267,-22.825076,-47.067042,192,56,177,2021-08-04 14:00:58,0.5045152033540943
36147,617.0,2021-08-04 14:03:15,2021-08-04 14:05:12,d4:63:c6:56:90:fd,-89,11,-22.824876,-47.065571000000006,-22.821672,-47.070149,38,114,117,2021-08-04 14:03:15,0.5891280163468116
36246,617.0,2021-08-04 14:06:20,2021-08-04 14:11:41,d8:9a:34:1d:ae:f9,-65,1,-22.818673,-47.072203,-22.817762,-47.066201,194,213,321,2021-08-04 14:06:20,0.623447267998477
36310,617.0,2021-08-04 14:09:54,2021-08-04 14:24:40,50:92:b9:02:b9:28,-72,6,-22.814769000000002,-47.06413,-22.829738,-47.060457,47,277,886,2021-08-04 14:09:54,1.7065175095038685
37298,617.0,2021-08-04 15:12:49,2021-08-04 15:19:23,0c:cb:85:be:04:42,-90,5,-22.818013,-47.072526,-22.821237,-47.067471000000005,152,215,394,2021-08-04 15:12:49,0.6300326436515865
37508,617.0,2021-08-04 15:25:19,2021-08-04 15:26:38,c6:5c:22:fa:02:90,-93,11,-22.818296,-47.059629,-22.821377,-47.060721,113,425,79,2021-08-04 15:25:19,0.3604103341136028
37527,617.0,2021-08-04 15:27:36,2021-08-04 15:30:32,70:fd:46:76:f7:62,-58,1,-22.823744,-47.062835,-22.828848,-47.066009,66,444,176,2021-08-04 15:27:36,0.6541536717563535
