,timestampI,timestampF,MAC,RSSI,channel,latitudeI,longitudeI,latitudeF,longitudeF,cnt_pckg,id,device_id,duration,ts_sort,distancias
52706,2021-07-07 12:09:13,2021-07-07 12:11:29,be:27:06:43:f4:6f,-96,11,-22.82538,-47.065846,-22.8232,-47.068606,61,417,,136,2021-07-07 12:09:13,0.37252458629951113
52719,2021-07-07 12:09:37,2021-07-07 12:11:37,d4:c9:4b:28:b1:51,-58,1,-22.824883,-47.065502,-22.822745,-47.069001,136,430,,120,2021-07-07 12:09:37,0.4302530777606813
52760,2021-07-07 12:10:20,2021-07-07 12:18:33,5c:70:a3:9e:22:6b,-90,1,-22.825144,-47.066879,-22.813156,-47.063174,124,473,,493,2021-07-07 12:10:20,1.3860390946040426
55205,2021-07-07 13:38:50,2021-07-07 13:40:26,dc:bf:e9:5e:08:2d,-94,1,-22.824486,-47.064854,-22.828321,-47.066558,113,126,,96,2021-07-07 13:38:50,0.46080740358394234
55208,2021-07-07 13:38:53,2021-07-07 13:40:50,60:ab:67:96:04:8b,-93,1,-22.824569,-47.064890000000005,-22.828787,-47.06615,65,129,,117,2021-07-07 13:38:53,0.48647292726551034
55218,2021-07-07 13:39:06,2021-07-07 13:43:56,c6:5b:2c:e7:8c:0c,-94,2,-22.824925,-47.065512,-22.829384,-47.0651,44,139,,290,2021-07-07 13:39:06,0.49761354269684277
55243,2021-07-07 13:39:21,2021-07-07 13:40:28,dc:bf:e9:91:e7:3e,-96,6,-22.825108,-47.065964,-22.828398,-47.066477,128,164,,67,2021-07-07 13:39:21,0.36959045984984296
56363,2021-07-07 14:35:57,2021-07-07 14:37:29,e2:df:4e:b5:5b:ee,-91,1,-22.825444,-47.066571,-22.831099,-47.063881,57,176,,92,2021-07-07 14:35:57,0.6865874341106945
60156,2021-07-07 17:09:04,2021-07-07 17:10:30,ce:7f:fc:ec:95:6a,-92,6,-22.829381,-47.065027,-22.825672,-47.066269,39,344,,86,2021-07-07 17:09:04,0.43161843923006676
63681,2021-07-08 08:22:39,2021-07-08 08:32:07,2e:ae:07:fd:47:ce,-74,1,-22.818832999999998,-47.066718,-22.825069,-47.06596,40,114,,568,2021-07-08 08:22:39,0.697750868161138
63887,2021-07-08 08:32:31,2021-07-08 08:40:03,38:d4:0b:91:42:47,-95,6,-22.825214000000003,-47.066804,-22.814038,-47.059090999999995,89,320,,452,2021-07-08 08:32:31,1.4728425821990596
63916,2021-07-08 08:34:01,2021-07-08 08:47:51,00:57:c1:ec:86:47,-51,6,-22.822689,-47.069047999999995,-22.81426,-47.07186,179,349,,830,2021-07-08 08:34:01,0.9805749994248807
64544,2021-07-08 11:03:22,2021-07-08 11:08:21,30:4b:07:ce:9a:01,-85,11,-22.816363,-47.072648,-22.821142000000002,-47.067126,75,14,,299,2021-07-08 11:03:22,0.7763390689541313
64709,2021-07-08 11:10:23,2021-07-08 11:15:39,02:00:00:00:00:00,-72,1,-22.824899,-47.065584,-22.828732000000002,-47.066033000000004,41,179,,316,2021-07-08 11:10:23,0.4286876583061518
64716,2021-07-08 11:10:44,2021-07-08 11:11:55,28:83:35:42:8a:af,-92,11,-22.825115,-47.066128000000006,-22.828719,-47.06621,40,186,,71,2021-07-08 11:10:44,0.4008351764890325
64863,2021-07-08 11:17:18,2021-07-08 11:30:43,40:06:a0:5b:8c:b2,-86,11,-22.825629,-47.066203,-22.818841,-47.064551,47,333,,805,2021-07-08 11:17:18,0.7735491454225353
64953,2021-07-08 11:21:07,2021-07-08 11:27:34,0c:cb:85:c0:12:a4,-91,10,-22.822006,-47.069379,-22.812762,-47.065807,37,423,,387,2021-07-08 11:21:07,1.0911400922112058
64961,2021-07-08 11:22:00,2021-07-08 11:30:50,c6:5c:22:fa:02:90,-85,1,-22.821247,-47.06755,-22.818975,-47.064681,119,431,,530,2021-07-08 11:22:00,0.38767109227021135
69119,2021-07-12 07:43:48,2021-07-12 07:45:39,48:90:2f:ad:1a:56,-90,7,-22.825328,-47.065636,-22.823195000000002,-47.06865,237,293,,111,2021-07-12 07:43:48,0.38945236728039584
69129,2021-07-12 07:44:29,2021-07-12 07:53:42,ca:ad:da:10:2d:07,-97,11,-22.82515,-47.066115,-22.81324,-47.062579,94,303,,553,2021-07-12 07:44:29,1.373026490744094
71364,2021-07-12 11:05:46,2021-07-12 11:14:23,50:92:b9:6d:df:78,-87,1,-22.816087,-47.072646999999996,-22.826949,-47.067644,251,9,,517,2021-07-12 11:05:46,1.3121378469654978
