,device_id,timestampI,timestampF,MAC,RSSI,channel,latitudeI,longitudeI,latitudeF,longitudeF,cnt_pckg,id,duration,ts_sort,distancias
55925,,2021-06-09 13:40:33,2021-06-09 13:42:35,a2:61:46:c1:fc:6c,-90,1,-22.824755,-47.065225,-22.830789000000003,-47.064164,180,80,122,2021-06-09 13:40:33,0.6797052414444084
55926,,2021-06-09 13:40:33,2021-06-09 13:43:09,98:b8:ba:33:2c:4f,-95,1,-22.824755,-47.065225,-22.831779,-47.062163,46,81,156,2021-06-09 13:40:33,0.8417192790633555
55965,,2021-06-09 13:41:09,2021-06-09 13:44:37,8c:f1:12:19:7d:0d,-82,11,-22.825607,-47.066626,-22.828984,-47.065742,37,120,208,2021-06-09 13:41:09,0.3862803929694288
56846,,2021-06-09 14:34:49,2021-06-09 14:39:42,78:23:27:15:ec:be,-93,9,-22.825038,-47.065785,-22.828606,-47.066116,73,101,293,2021-06-09 14:34:49,0.3981916743400257
56860,,2021-06-09 14:34:58,2021-06-09 14:45:40,ce:d2:ca:c0:32:21,-87,11,-22.825205,-47.066146,-22.814354,-47.064299,164,115,642,2021-06-09 14:34:58,1.2213375382739122
64303,,2021-06-10 07:38:49,2021-06-10 07:42:12,90:73:5a:d7:b4:44,-93,1,-22.825257999999998,-47.066319,-22.82957,-47.062281,126,85,203,2021-06-10 07:38:49,0.6333694617506652
64329,,2021-06-10 07:39:43,2021-06-10 07:47:13,dc:bf:e9:c5:0d:02,-93,6,-22.827263000000002,-47.067501,-22.822813,-47.068962,115,111,450,2021-06-10 07:39:43,0.5169772096992025
64375,,2021-06-10 07:41:16,2021-06-10 07:43:27,04:d9:f5:6a:24:27,-80,11,-22.831891,-47.06223,-22.829362,-47.065061,51,157,131,2021-06-10 07:41:16,0.4040500317174588
64430,,2021-06-10 07:43:40,2021-06-10 07:47:55,f0:d7:aa:05:66:18,-44,11,-22.828861,-47.065909000000005,-22.821509,-47.068290999999995,182,212,255,2021-06-10 07:43:40,0.8531786389011622
64506,,2021-06-10 07:46:36,2021-06-10 07:53:55,58:d9:c3:79:9a:2e,-91,1,-22.823679000000002,-47.068296999999994,-22.813389,-47.061696999999995,111,288,439,2021-06-10 07:46:36,1.3292007841595703
66556,,2021-06-10 11:06:02,2021-06-10 11:13:08,60:af:6d:00:58:c0,-51,6,-22.815498,-47.072540999999994,-22.828722,-47.066175,125,5,426,2021-06-10 11:06:02,1.6086943894407055
66558,,2021-06-10 11:06:04,2021-06-10 11:11:33,48:49:c7:19:22:fa,-41,6,-22.81542,-47.072514,-22.824984,-47.065663,186,7,329,2021-06-10 11:06:04,1.2743661470161085
66559,,2021-06-10 11:06:07,2021-06-10 11:16:14,50:3d:c6:04:84:f6,-51,6,-22.815345999999998,-47.072491,-22.829439999999998,-47.063854,87,8,607,2021-06-10 11:06:07,1.7999029984035035
66560,,2021-06-10 11:06:07,2021-06-10 11:18:07,30:fc:eb:89:46:e4,-59,11,-22.815345999999998,-47.072491,-22.825777,-47.066438,174,9,720,2021-06-10 11:06:07,1.3153639347300827
66562,,2021-06-10 11:06:16,2021-06-10 11:11:43,f0:d7:aa:1c:9f:12,-52,11,-22.815001000000002,-47.07233,-22.825108,-47.065958,189,11,327,2021-06-10 11:06:16,1.2998247508555405
66885,,2021-06-10 11:18:27,2021-06-10 11:21:59,38:80:df:a5:0f:c4,-88,4,-22.825413,-47.06592,-22.819917,-47.065360999999996,44,329,212,2021-06-10 11:18:27,0.613807759842669
68404,,2021-06-10 11:58:50,2021-06-10 12:00:59,3a:5d:5e:ef:7e:54,-91,7,-22.819476,-47.067229,-22.824268,-47.064991,101,55,129,2021-06-10 11:58:50,0.5801187230156888
68466,,2021-06-10 12:01:30,2021-06-10 12:03:03,5e:1d:29:4b:a8:06,-85,8,-22.824957,-47.065625,-22.828483,-47.066394,35,117,93,2021-06-10 12:01:30,0.39991656768830197
73141,,2021-06-10 14:45:45,2021-06-10 14:47:34,18:31:bf:d3:1e:7c,-94,11,-22.821621,-47.068582,-22.818122,-47.063767,60,333,109,2021-06-10 14:45:45,0.6284238212333676
73144,,2021-06-10 14:46:05,2021-06-10 14:47:58,00:0a:f5:61:1e:58,-93,1,-22.821348999999998,-47.067785,-22.816028,-47.063619,176,336,113,2021-06-10 14:46:05,0.729649002668808
74105,,2021-06-10 15:33:24,2021-06-10 15:38:22,18:31:bf:60:89:b5,-89,11,-22.828782999999998,-47.066075,-22.824979000000003,-47.06532,126,284,298,2021-06-10 15:33:24,0.4300051937034881
74283,,2021-06-10 15:45:46,2021-06-10 15:49:10,48:90:2f:d6:99:2a,-95,9,-22.814481,-47.057214,-22.813644,-47.063408,138,462,204,2021-06-10 15:45:46,0.6416464116672289
74898,,2021-06-10 16:09:43,2021-06-10 16:11:54,98:39:8e:7e:1a:75,-86,11,-22.816463,-47.066235,-22.821165,-47.067058,140,43,131,2021-06-10 16:09:43,0.5295998912082257
